LotArea,Neighborhood,YearBuilt,BHK,SalePrice
9050,CollgCr,1921,2,2380000
4000,Veenker,1909,1.5,2380000
9480,CollgCr,1939,1.5,2380000
42998,Crawfor,2001,2,2380000
4500,NoRidge,1929,1.5,2380000
4750,Mitchel,1951,1,2380000
11995,Somerst,2006,2,2380000
10578,NWAmes,1923,2,2380000
6550,OldTown,1955,1,2380000
11250,BrkSide,1920,1.5,2380000
67518,CollgCr,1979,2,2380000
5000,Veenker,1945,1.5,2380000
6200,CollgCr,1945,1.5,2380000
37277,Crawfor,2000,2,2380000
1572,NoRidge,2005,2.5,2380000
8408,Mitchel,2014,2,2380000
54014,Somerst,2007,1,2380000
7291,NWAmes,1948,1,2380000
12261,OldTown,1991,2,2380000
33151,BrkSide,1995,2,2380000
14892,CollgCr,1980,1,2380000
6500,Veenker,2012,2,2380000
10500,CollgCr,1976,1,2380000
35200,Crawfor,1979,1.5,2380000
3345,NoRidge,2004,2,2380000
6380,Mitchel,1959,1,2380000
125452,Somerst,1968,1,2380000
6380,NWAmes,1938,1,2380000
35868,OldTown,1989,2,2380000
9655,BrkSide,1976,1,2380000
7320,CollgCr,1948,1,2380000
5539,Veenker,2013,2,2380000
88426,CollgCr,1985,1,2380000
1180,Crawfor,2001,3,2380000
8119,NoRidge,1966,1,2380000
4850,Mitchel,1944,1,2380000
2875,Somerst,1990,2,2380000
35100,NWAmes,1977,2,2380000
1235,OldTown,2007,3,2380000
8800,BrkSide,1954,1,2380000
10000,CollgCr,1954,1,2380000
8030,Veenker,1963,1,2380000
6700,CollgCr,1956,1,2380000
10460,Crawfor,1996,2,2380000
13100,NoRidge,1957,1,2380000
42884,Mitchel,1979,1.5,2380000
1327,Somerst,2008,2,2380000
8700,NWAmes,1967,1,2380000
7231,OldTown,1997,2,2380000
6435,BrkSide,1955,1,365000
11947,CollgCr,1966,1,342000
2560,Veenker,1976,1,335000
16215,CollgCr,1978,1,335000
9180,Crawfor,1968,1,315000
7912,NoRidge,1955,1.5,313000
6174,Mitchel,1950,1,308500
5050,Somerst,2006,2,300000
1368,NWAmes,2009,2,295000
19966,OldTown,1992,1,287200
9397,BrkSide,1987,2,285000
10834,CollgCr,1987,1,285000
23103,Veenker,1968,1,284000
10277,CollgCr,1983,1,275000
8625,Crawfor,1974,1,260000
5858,NoRidge,1987,1,257950
9720,Mitchel,1965,1,242500
9400,Somerst,1949,1,235000
6605,NWAmes,2012,2,625000
5000,OldTown,1944,1,553000
14054,BrkSide,1986,1,379880
9945,CollgCr,1973,1,310000
7130,Veenker,1980,2,783500
7392,CollgCr,2004,1,775000
6010,Crawfor,1900,1,628000
7350,NoRidge,1988,1,365000
9933,Mitchel,1990,2,331950
307752,Somerst,1999,3,2280000
4000,NWAmes,2000,2,1430000
8510,OldTown,1971,2,1400000
141570,BrkSide,1992,2.5,1090000
16920,CollgCr,1976,1,1030000
77972,Veenker,1928,1,900000
5750,CollgCr,2006,2,890000
6000,Crawfor,2006,2,890000
9892,NoRidge,1998,2,865000
5390,Mitchel,1960,1,855000
4000,Somerst,1982,2,831000
9692,NWAmes,2007,2,830000
5000,OldTown,1908,2.5,823000
13806,BrkSide,1990,2,800866
7857,CollgCr,1994,2,800000
7500,Veenker,1961,1,787000
10281,CollgCr,1996,2,780000
5700,Crawfor,1939,1.5,770000
10202,NoRidge,1960,1,755000
3600,Mitchel,1902,1.5,740000
21904,Somerst,2000,2,736500
4247,NWAmes,2013,2,712198
4343,OldTown,2003,2,705380
2000,BrkSide,1909,3,670000
5900,CollgCr,1963,1,665000
